Word 		 frequency
			15
1			4
10			1
100			1
101			1
102			1
103			1
104			1
105			1
106			1
107			1
108			1
10800			2
109			1
11			1
110			1
111			1
112			1
113			1
114			1
115			1
116			1
117			1
118			1
119			1
12			1
120			1
121			1
122			1
123			1
124			1
125			1
126			1
127			1
128			1
129			1
13			1
130			1
13000			1
131			1
132			1
133			1
134			1
135			1
14			1
144000			1
1492			1
15			1
1500			1
150000			1
15th			2
16			1
1671			1
1695			1
16th			1
17			1
1726			1
1750			1
1775			2
1776			1
1778			1
1779			1
1788			1
1791			1
1793			1
18			1
180			2
1807			2
1819			1
1820			2
1825			2
1833			1
1836			2
1839			2
1842			1
1850			1
1851			2
19			1
1a			1
1b			1
1c			2
1d			1
1e			2
1e1			5
1e2			1
1e3			1
1e4			1
1e5			1
1e6			1
1e7			3
1e8			4
1e9			3
1f			1
1f1			1
1f2			1
1f3			4
1f4			1
1f5			1
1f6			1
1st			2
2			2
20			2
2000			1
20000			1
20000000			1
2001			1
200th			1
21			1
21st			1
22			1
23			1
24			1
25			1
25000			1
26			1
27			1
2701txt			1
2701zip			1
275th			4
28			1
2800			1
29			1
2nd			1
3			7
30			3
31			1
31st			1
32			1
33			1
34			1
35			1
36			1
37			1
38			1
39			1
3d			2
4			4
40			1
4000			1
400000			1
4000000			1
41			1
42			1
43			1
44			1
45			1
4557			1
45he			1
46			1
47			1
48			1
49			1
4th			1
5			2
50			2
500			1
5000			1
501c3			2
51			1
52			1
53			1
54			1
5400			1
55			1
550			2
550000			1
56			1
57			1
58			1
59			1
5961887			1
5th			1
6			1
60			2
60000			1
61			1
62			1
63			1
64			1
646221541			1
65			1
66			1
67			1
68			1
69			1
7			1
70			1
7000000			1
71			1
72			1
72000			1
73			1
74			1
75			1
76			1
77			1
78			1
79			1
8			1
80			1
801			1
809			1
81			1
82			1
83			1
84			1
84116			1
85			1
86			1
87			1
88			1
89			1
9			1
90			3
91			1
92			1
93			1
94			1
95			1
96			1
97			1
98			1
99			1
99712			1
a			4593
aback			2
abaft			2
abandon			3
abandoned			7
abandonedly			1
abandonment			2
abased			2
abasement			1
abashed			2
abate			1
abated			3
abatement			1
abating			2
abbreviate			1
abbreviation			1
abeam			1
abed			2
abednego			1
abegging			2
abel			1
abhorred			3
abhorrence			1
abhorrent			1
abhorring			1
abide			4
abided			1
abiding			1
ability			1
abjectly			1
abjectus			1
able			9
ablutions			2
aboard			21
abode			1
abominable			3
abominate			1
abominated			1
abomination			1
aboriginal			4
aboriginally			1
aboriginalness			1
abortion			1
abortions			1
abound			3
abounded			1
abounding			7
aboundingly			1
about			313
abouthowever			1
above			54
aboveground			1
abovementioned			1
abraham			3
abreast			3
abridged			2
abroad			6
abruptly			2
absence			5
absent			6
absentminded			4
absolute			4
absolutely			3
absorbed			4
absorbing			2
absorbingly			1
abstained			1
abstemious			1
abstinence			1
abstract			1
abstracted			1
abstraction			1
absurd			3
absurdly			1
abundance			3
abundant			2
abundantly			2
academy			1
acalling			1
accelerate			3
accelerated			1
accelerating			2
accept			2
accepted			2
accepting			1
access			10
accessed			1
accessible			2
accessory			2
accident			6
accidental			1
accidentally			4
accidents			6
accommodate			2
accommodated			1
accommodation			1
accompanied			6
accompanies			1
accompaniments			3
accompany			2
accompanying			5
accomplish			1
accomplished			7
accomplishgayer			1
accomplishing			1
accomplishment			1
accordance			5
according			26
accordingly			8
accosted			4
account			32
accountable			1
accountants			1
accounted			9
accounting			1
accounts			9
accumulate			1
accumulated			3
accumulating			1
accuracy			3
accurate			1
accurately			2
accursed			10
accustomed			5
acerbities			1
ache			2
ached			1
achieve			1
achieved			4
achilless			1
acknowledges			1
acknowledging			1
acquaintance			2
acquaintances			2
acquainted			4
acquiesce			1
acquiesced			1
acquiescence			1
acquired			2
acre			2
acres			2
acridness			1
across			31
act			29
acted			3
actest			1
action			9
actions			2
actium			1
active			9
actively			3
activity			9
acts			4
actual			4
actually			16
actuated			1
acushnet			1
acute			1
acuteness			1
ad			7
adam			5
adams			1
adapted			4
add			6
added			24
addedcome			1
adding			2
addition			3
additional			16
additions			1
address			4
addressed			7
addresses			1
addressing			4
adds			1
adequate			2
adequately			7
adhering			4
adhesiveness			1
adieu			5
adieux			1
adios			1
adjacent			2
adjoining			2
adjust			1
admeasurement			1
admeasurements			2
administered			1
administering			1
admirable			5
admirably			2
